iter	Passed	Remaining
188	31301	134314
189	31507	134322
190	31681	134188
191	31833	133963
192	31980	133721
193	32180	133697
194	32527	134280
195	32745	134324
196	32945	134290
197	33236	134625
198	33418	134513
199	33565	134263
200	33741	134124
201	33932	134050
202	34189	134233
203	34509	134656
204	34690	134533
205	34852	134335
206	35026	134182
207	35188	133988
208	35382	133910
209	35556	133759
210	35709	133528
211	35857	133282
212	36007	133043
213	36166	132836
214	36313	132587
215	36458	132332
216	36626	132158
217	36770	131903
218	36918	131658
219	37081	131469
220	37223	131207
221	37372	130971
222	37572	130914
223	37944	131449
224	38238	131709
225	38389	131474
226	38564	131322
227	38747	131198
228	38903	130981
229	39134	131014
230	39365	131047
231	39562	130965
232	39734	130800
233	39931	130717
234	40203	130875
235	40470	131014
236	40640	130837
237	40781	130569
238	40918	130290
239	41062	130029
240	41204	129768
241	41380	129612
242	41520	129344
243	41659	129077
244	41797	128804
245	41944	128562
246	42223	128722
247	42461	128754
248	42665	128680
249	42804	128413
250	42960	128196
251	43113	127971
252	43262	127736
253	43418	127519
254	43563	127272
255	43705	127019
256	43855	126789
257	44015	126587
258	44168	126366
259	44333	126179
260	44499	125997
261	44701	125914
262	44872	125746
263	45058	125616
264	45382	125871
265	45860	126547
266	46037	126386
267	46199	126185
268	46394	126075
269	46620	126049
270	46786	125857
271	46958	125684
272	47118	125476
273	47275	125261
274	47443	125077
275	47585	124826
276	47756	124650
277	47911	124432
278	48048	124168
279	48298	124196
280	48539	124200
281	48887	124472
282	49185	124614
283	49455	124683
284	49638	124532
285	49845	124440
286	50094	124450
287	50380	124551
288	50648	124605
289	50920	124667
290	51250	124868
291	51581	125067
292	51851	125115
293	52133	125190
294	52413	125260
295	52656	125236
296	52895	125202
297	53077	125034
298	53287	124932
299	53616	125105
300	54013	125434
301	54278	125452
302	54509	125390
303	54710	125259
304	54924	125154
305	55142	125060
306	55349	124942
307	55550	124807
308	55762	124699
309	56017	124683
310	56159	124417
311	56323	124201
312	56537	124092
313	56758	124000
314	56987	123925
315	57189	123790
316	57407	123687
317	57638	123615
318	57846	123490
319	58057	123371
320	58439	123614
321	58655	123503
322	58848	123345
323	59039	123181
324	59240	123037
325	59388	122784
326	59538	122535
327	59697	122307
328	59881	122129
329	60068	121957
330	60246	121767
331	60447	121623
332	60666	121514
333	60846	121329
334	60997	121084
335	61127	120799
336	61278	120556
337	61463	120381
338	61648	120205
339	61844	120050
340	62034	119885
341	62214	119699
342	62394	119514
343	62577	119334
344	62744	119123
345	62899	118891
346	63061	118671
347	63232	118470
348	63426	118311
349	63611	118135
350	63799	117964
351	63992	117804
352	64174	117623
353	64324	117382
354	64470	117136
355	64625	116906
356	64806	116724
357	65019	116598
358	65208	116430
359	65395	116258
360	65708	116309
361	65969	116266
362	66126	116039
363	66272	115794
364	66500	115692
365	66723	115580
366	66923	115430
367	67127	115283
368	67455	115350
369	67641	115174
370	67817	114978
371	68065	114906
372	68292	114797
373	68535	114714
374	68806	114677
375	69045	114586
376	69281	114489
377	69421	114233
378	69615	114067
379	69839	113949
380	70138	113952
381	70402	113897
382	70625	113774
383	70847	113651
384	71005	113424
385	71137	113156
386	71298	112935
387	71503	112784
388	71750	112698
389	71964	112560
390	72194	112446
391	72397	112290
392	72578	112100
393	72718	111846
394	72860	111596
395	73043	111410
396	73260	111274
397	73444	111088
398	73651	110939
399	73864	110797
400	74156	110772
401	74417	110700
402	74705	110667
403	74950	110570
404	75233	110528
405	75636	110660
406	75957	110669
407	76102	110423
408	76295	110245
409	76449	110013
410	76640	109832
411	76862	109696
412	76983	109417
413	77129	109173
414	77350	109035
415	77504	108804
416	77645	108555
417	77786	108305
418	77922	108049
419	78056	107792
420	78197	107544
421	78343	107304
422	78538	107131
423	78682	106889
424	78825	106646
425	79003	106450
426	79199	106278
427	79374	106080
428	79536	105862
429	79771	105744
430	80022	105644
431	80201	105450
432	80354	105221
433	80501	104985
434	80666	104774
435	80826	104555
436	80961	104304
437	81121	104087
438	81270	103856
439	81412	103616
440	81553	103374
441	81700	103142
442	81848	102911
443	81986	102668
444	82148	102454
445	82297	102226
446	82447	101998
447	82584	101755
448	82719	101511
449	82875	101291
450	83061	101110
451	83206	100878
452	83454	100771
453	83629	100575
454	83776	100347
455	83933	100130
456	84079	99901
457	84226	99673
458	84377	99451
459	84513	99211
460	84654	98978
461	84797	98746
462	84964	98544
463	85134	98344
464	85304	98145
465	85497	97973
466	85648	97753
467	85820	97557
468	85982	97349
469	86283	97297
470	86446	97091
471	86580	96852
472	86717	96617
473	86846	96373
474	86991	96148
475	87127	95913
476	87270	95686
477	87455	95505
478	87646	95331
479	87783	95098
480	87901	94846
481	88047	94623
482	88183	94390
483	88323	94163
484	88462	93934
485	88594	93698
486	88729	93466
487	88879	93250
488	89018	93023
489	89155	92794
490	89315	92589
491	89465	92374
492	89663	92209
493	89817	91998
494	89968	91786
495	90133	91586
496	90280	91370
497	90426	91152
498	90561	90924
499	90724	90724
500	90865	90502
501	91011	90285
502	91170	90083
503	91322	89872
504	91477	89666
505	91598	89426
506	91755	89221
507	91944	89048
508	92104	88847
509	92261	88643
510	92405	88427
511	92542	88204
512	92689	87991
513	92858	87800
514	93008	87590
515	93158	87381
516	93309	87172
517	93446	86951
518	93586	86734
519	93726	86517
520	93870	86303
521	94052	86125
522	94201	85915
523	94344	85702
524	94487	85488
525	94633	85277
526	94788	85075
527	94939	84869
528	95075	84651
529	95269	84484
530	95440	84297
531	95616	84113
532	95767	83908
533	95904	83692
534	96041	83475
535	96194	83273
536	96380	83099
537	96518	82884
538	96659	82671
539	96799	82458
540	96955	82259
541	97109	82059
542	97276	81869
543	97429	81668
544	97579	81465
545	97746	81275
546	97897	81074
547	98103	80917
548	98334	80781
549	98623	80691
550	98767	80484
551	98906	80271
552	99045	80059
553	99183	79848
554	99320	79635
555	99456	79421
556	99650	79255
557	99832	79078
558	100089	78961
559	100263	78778
560	100428	78588
561	100575	78384
562	100789	78232
563	100926	78020
564	101066	77812
565	101219	77613
566	101372	77414
567	101510	77204
568	101671	77013
569	101838	76825
570	101996	76631
571	102198	76470
572	102441	76339
573	102680	76205
574	102831	76005
575	103007	75825
576	103155	75623
577	103323	75436
578	103550	75293
579	103707	75098
580	103857	74898
581	103998	74692
582	104139	74487
583	104273	74276
584	104416	74073
585	104563	73872
586	104704	73667
587	104847	73464
588	104972	73248
589	105115	73046
590	105279	72858
591	105419	72653
592	105565	72453
593	105703	72248
594	105849	72048
595	105986	71843
596	106116	71632
597	106269	71438
598	106405	71233
599	106552	71034
600	106708	70843
601	106993	70736
602	107173	70560
603	107306	70353
604	107486	70176
605	107626	69975
606	107763	69770
607	107973	69614
608	108131	69424
609	108312	69248
610	108517	69088
611	108719	68926
612	108910	68757
613	109076	68572
614	109229	68379
615	109397	68195
616	109555	68006
617	109747	67837
618	109902	67646
619	110063	67458
620	110212	67263
621	110371	67074
622	110526	66883
623	110689	66697
624	110846	66507
625	110995	66313
626	111151	66123
627	111294	65926
628	111452	65737
629	111615	65551
630	111770	65361
631	111969	65197
632	112108	64998
633	112256	64804
634	112403	64609
635	112535	64407
636	112674	64208
637	112796	64000
638	112939	63804
639	113076	63605
640	113223	63412
641	113373	63220
642	113519	63027
643	113664	62833
644	113799	62633
645	113949	62442
646	114138	62273
647	114278	62077
648	114411	61877
649	114550	61681
650	114687	61483
651	114828	61288
652	114960	61089
653	115088	60887
654	115226	60692
655	115389	60509
656	115613	60358
657	115744	60159
658	115896	59970
659	116027	59771
660	116169	59578
661	116344	59402
662	116470	59201
663	116604	59004
664	116751	58814
665	116987	58669
666	117193	58508
667	117323	58310
668	117452	58111
669	117576	57910
670	117717	57718
671	117857	57525
672	118042	57354
673	118278	57208
674	118427	57020
675	118597	56842
676	118739	56651
677	118892	56465
678	119045	56279
679	119194	56091
680	119331	55898
681	119457	55699
682	119602	55511
683	119735	55316
684	119876	55125
685	120002	54928
686	120152	54742
687	120304	54556
688	120442	54365
689	120581	54174
690	120811	54024
691	120994	53853
692	121136	53663
693	121340	53501
694	121572	53351
695	121808	53203
696	121964	53020
697	122092	52825
698	122235	52636
699	122378	52448
700	122523	52260
701	122806	52131
702	122988	51959
703	123136	51773
704	123279	51585
705	123426	51398
706	123569	51210
707	123706	51020
708	123866	50839
709	124055	50670
710	124183	50476
711	124346	50297
712	124498	50113
713	124668	49937
714	124840	49761
715	124990	49577
716	125206	49419
717	125377	49243
718	125538	49062
719	125729	48894
720	125889	48714
721	126039	48530
722	126195	48348
723	126358	48169
724	126508	47985
725	126651	47799
726	126814	47620
727	126953	47433
728	127127	47258
729	127269	47072
730	127546	46935
731	127783	46783
732	128009	46628
733	128152	46442
734	128311	46261
735	128545	46108
736	128792	45960
737	129032	45808
738	129269	45655
739	129557	45520
740	129831	45379
741	130004	45203
742	130252	45053
743	130542	44917
744	130761	44757
745	130960	44589
746	131133	44413
747	131308	44237
748	131451	44051
749	131635	43878
750	131837	43711
751	132110	43568
752	132320	43403
753	132483	43224
754	132742	43075
755	132975	42917
756	133123	42733
757	133259	42544
758	133407	42360
759	133594	42187
760	133771	42012
761	133969	41843
762	134210	41687
763	134443	41529
764	134637	41359
765	134779	41172
766	134918	40985
767	135069	40802
768	135443	40685
769	135630	40513
770	135829	40343
771	136028	40174
772	136236	40007
773	136409	39830
774	136585	39653
775	136755	39475
776	136961	39308
777	137168	39140
778	137364	38969
779	137555	38797
780	137748	38626
781	137948	38456
782	138085	38268
783	138225	38082
784	138374	37898
785	138571	37728
786	138806	37567
787	139009	37398
788	139194	37224
789	139385	37051
790	139575	36879
791	139728	36696
792	139848	36505
793	139990	36319
794	140177	36146
795	140379	35976
796	140602	35812
797	140820	35646
798	141074	35489
799	141264	35316
800	141416	35133
801	141624	34964
802	141898	34811
803	142111	34644
804	142295	34469
805	142439	34284
806	142565	34095
807	142705	33910
808	142924	33743
809	143057	33556
810	143244	33382
811	143393	33199
812	143516	33010
813	143650	32824
814	143793	32640
815	143925	32453
816	144078	32272
817	144255	32095
818	144428	31918
819	144579	31736
820	144730	31555
821	144886	31374
822	145035	31192
823	145195	31012
824	145490	30861
825	145666	30685
826	145816	30503
827	145947	30317
828	146088	30133
829	146228	29950
830	146365	29766
831	146515	29584
832	146653	29401
833	146783	29215
834	146919	29031
835	147051	28847
836	147195	28665
837	147334	28482
838	147515	28307
839	147749	28142
840	147909	27963
841	148069	27784
842	148227	27605
843	148368	27423
844	148511	27241
845	148666	27062
846	148829	26884
847	148973	26702
848	149119	26521
849	149260	26340
850	149395	26157
851	149532	25975
852	149670	25793
853	149806	25611
854	149979	25435
855	150110	25252
856	150240	25069
857	150377	24887
858	150506	24704
859	150642	24523
860	150769	24340
861	150907	24159
862	151047	23978
863	151182	23797
864	151311	23615
865	151450	23434
866	151595	23255
867	151762	23079
868	151959	22907
869	152160	22736
870	152311	22558
871	152457	22379
872	152596	22198
873	152731	22018
874	152880	21840
875	153251	21693
876	153462	21523
877	153603	21343
878	153734	21162
879	153867	20981
880	154065	20810
881	154320	20646
882	154620	20487
883	154785	20311
884	154960	20136
885	155136	19961
886	155336	19789
887	155500	19612
888	155633	19432
889	155791	19255
890	155965	19079
891	156124	18902
892	156279	18725
893	156440	18548
894	156595	18371
895	156753	18194
896	156884	18014
897	157028	17836
898	157167	17657
899	157309	17478
900	157442	17299
901	157594	17122
902	157748	16945
903	157885	16766
904	158020	16587
905	158169	16410
906	158304	16231
907	158450	16054
908	158626	15880
909	158807	15706
910	158982	15531
911	159126	15354
912	159270	15176
913	159406	14998
914	159536	14820
915	159677	14642
916	159821	14465
917	159956	14288
918	160090	14110
919	160234	13933
920	160370	13755
921	160507	13578
922	160644	13401
923	160779	13224
924	160926	13048
925	161110	12874
926	161262	12699
927	161396	12522
928	161532	12345
929	161672	12168
930	161800	11991
931	161939	11815
932	162092	11640
933	162234	11464
934	162384	11288
935	162564	11115
936	162773	10944
937	163001	10774
938	163143	10598
939	163331	10425
940	163473	10249
941	163619	10074
942	163758	9898
943	163886	9722
944	164019	9546
945	164139	9369
946	164254	9192
947	164381	9016
948	164507	8840
949	164634	8664
950	164774	8489
951	164911	8314
952	165034	8139
953	165168	7964
954	165299	7788
955	165456	7615
956	165613	7441
957	165754	7266
958	165890	7092
959	166029	6917
960	166178	6743
961	166322	6569
962	166465	6395
963	166609	6221
964	166735	6047
965	166882	5873
966	167041	5700
967	167199	5527
968	167349	5353
969	167535	5181
970	167719	5009
971	167874	4835
972	168043	4663
973	168192	4489
974	168333	4316
975	168477	4142
976	168617	3969
977	168786	3796
978	168988	3624
979	169162	3452
980	169423	3281
981	169577	3108
982	169798	2936
983	169984	2763
984	170129	2590
985	170286	2417
986	170421	2244
987	170579	2071
988	170712	1898
989	170869	1725
990	171008	1553
991	171169	1380
992	171305	1207
993	171442	1034
994	171593	862
995	171731	689
996	171881	517
997	172020	344
998	172205	172
999	172350	0
