iter	RMSE
543	0.08582048567
544	0.08579783195
545	0.08575686017
546	0.08569387718
547	0.08561367159
548	0.08560074047
549	0.08553718115
550	0.08547638232
551	0.08545470566
552	0.08539609132
553	0.08538681772
554	0.0853582615
555	0.08534190067
556	0.08528839826
557	0.08525669027
558	0.08522177646
559	0.0851675124
560	0.08513601435
561	0.08512733296
562	0.08509621099
563	0.0850550453
564	0.08501967569
565	0.08497193568
566	0.08495835006
567	0.08492746448
568	0.08489020805
569	0.08485969212
570	0.08481742343
571	0.08480031579
572	0.08477313662
573	0.08475781845
574	0.08473024407
575	0.08470312691
576	0.08469829499
577	0.08468249173
578	0.08461625758
579	0.08458628094
580	0.08452223615
581	0.08452185204
582	0.08448997414
583	0.08444017381
584	0.08440453164
585	0.08435144339
586	0.08432237801
587	0.0842969624
588	0.08419443586
589	0.08414199786
590	0.08412700036
591	0.08408486934
592	0.08403637872
593	0.08401603541
594	0.0839757534
595	0.08388875741
596	0.08387267674
597	0.0838623052
598	0.08377381839
599	0.08372916679
600	0.08370888368
601	0.0836682291
602	0.08362764104
603	0.08361691921
604	0.08358776408
605	0.08355618049
606	0.08352359748
607	0.08347724757
608	0.08344829979
609	0.08343304284
610	0.08338670014
611	0.08335851521
612	0.08332970798
613	0.08329855953
614	0.08326443419
615	0.08321990198
616	0.08316489261
617	0.08312128848
618	0.08307802673
619	0.08304387507
620	0.08301118341
621	0.08291527231
622	0.08287345127
623	0.0828012939
624	0.08275799419
625	0.08273122721
626	0.08269139777
627	0.08266193354
628	0.0826529578
629	0.08262725302
630	0.08258866701
631	0.08256970946
632	0.08254804222
633	0.08251644908
634	0.08247948249
635	0.08245106825
636	0.08241843626
637	0.08238979556
638	0.08236213957
639	0.08232115112
640	0.08227113652
641	0.08224129477
642	0.08219811845
643	0.08216809534
644	0.08213834952
645	0.0821067998
646	0.08200997652
647	0.08199461369
648	0.08198704955
649	0.08195654201
650	0.08194282824
651	0.08192182224
652	0.08188471111
653	0.08185061215
654	0.08183236106
655	0.0817934864
656	0.08175916116
657	0.08173535595
658	0.08167317501
659	0.08161749153
660	0.08158101499
661	0.0815417894
662	0.08147535281
663	0.08146502184
664	0.08146260781
665	0.08141728243
666	0.08135376225
667	0.08129489669
668	0.08125586337
669	0.08124045445
670	0.08119684267
671	0.08116535436
672	0.08113667811
673	0.0811037298
674	0.08106091132
675	0.08104017455
676	0.08100624105
677	0.08096614892
678	0.08094883056
679	0.08087339552
680	0.08086172228
681	0.08081871654
682	0.08078729245
683	0.0807518057
684	0.08068893487
685	0.0806744439
686	0.08064409242
687	0.08059453829
688	0.08057468464
689	0.08051603058
690	0.08051593873
691	0.08048385918
692	0.08047499325
693	0.08044696275
694	0.08042610408
695	0.08039022811
696	0.08036643989
697	0.08033535535
698	0.08032943804
699	0.08029005938
700	0.08026874565
701	0.08022933484
702	0.0802014976
703	0.08017851758
704	0.08014576878
705	0.08012298923
706	0.08010616819
707	0.08008041804
708	0.08006813415
709	0.08005495765
710	0.08004951754
711	0.08001676388
712	0.0799947556
713	0.07998487322
714	0.07993871397
715	0.07990162882
716	0.07986469478
717	0.07981667625
718	0.07979608401
719	0.0797621007
720	0.07971615464
721	0.07969119302
722	0.07966361984
723	0.07963549428
724	0.07960325785
725	0.0795813032
726	0.07957532844
727	0.07952450424
728	0.07949428277
729	0.07946019277
730	0.07944623957
731	0.07942275095
732	0.07940311075
733	0.079381223
734	0.07936117945
735	0.07933957243
736	0.07931757303
737	0.07930151327
738	0.07929152419
739	0.07927086265
740	0.07925924101
741	0.07922815938
742	0.07919805747
743	0.07916252155
744	0.07913360711
745	0.07911319127
746	0.07909533271
747	0.07907724748
748	0.07905392269
749	0.07903154687
750	0.07902588659
751	0.07900418122
752	0.07895261335
753	0.07890830289
754	0.07885573536
755	0.07883753491
756	0.07876957918
757	0.07875069289
758	0.07874442814
759	0.07872801794
760	0.07871559869
761	0.07870676384
762	0.07868010136
763	0.07864349099
764	0.07863086312
765	0.07861363552
766	0.07859093349
767	0.07857451935
768	0.07856239929
769	0.07853190484
770	0.07852459908
771	0.07848642607
772	0.07848198626
773	0.07847004678
774	0.07844229997
775	0.07839931486
776	0.07838797106
777	0.07837197827
778	0.07835112291
779	0.07833237148
780	0.07831709919
781	0.07828126092
782	0.07824953459
783	0.07821479729
784	0.07817785718
785	0.07816311368
786	0.07814287123
787	0.07811401859
788	0.07807992115
789	0.07805590592
790	0.07804021218
791	0.07800967037
792	0.07800477217
793	0.07796095434
794	0.07793567844
795	0.07790410182
796	0.07783806043
797	0.07780889445
798	0.07778231973
799	0.0777568638
800	0.07772590406
801	0.0776852002
802	0.0776788825
803	0.0776616954
804	0.07763145882
805	0.07762179994
806	0.07758775589
807	0.07755025485
808	0.07753815538
809	0.07750049553
810	0.07748543719
811	0.07746783494
812	0.07746672916
813	0.07745507987
814	0.07743271206
815	0.07742086999
816	0.07739048776
817	0.07736206334
818	0.07732309899
819	0.07730910187
820	0.07729157781
821	0.07725865446
822	0.07724086319
823	0.0772110255
824	0.07717889116
825	0.07714538614
826	0.07712340155
827	0.07711904151
828	0.07709374266
829	0.07706079336
830	0.07704205785
831	0.07701056064
832	0.07699513699
833	0.07698976016
834	0.07696967134
835	0.07695015286
836	0.0768741351
837	0.07683403717
838	0.0767981225
839	0.07677007924
840	0.07676082208
841	0.07673809866
842	0.07673258105
843	0.07670883796
844	0.07670359633
845	0.0766749429
846	0.0766345536
847	0.07659295256
848	0.07655685344
849	0.07654780036
850	0.07653458836
851	0.07650742253
852	0.07649061872
853	0.07647882569
854	0.0764619686
855	0.0764342257
856	0.07640933259
857	0.07634943849
858	0.07634729957
859	0.07632275202
860	0.07628813639
861	0.07624591218
862	0.07621748172
863	0.07619037559
864	0.07617714062
865	0.07614829701
866	0.07612127822
867	0.07609828596
868	0.07607244911
869	0.07606238127
870	0.07604352885
871	0.07602035611
872	0.07600246237
873	0.07599738473
874	0.07597978103
875	0.07596578698
876	0.07594848293
877	0.07592538021
878	0.07591313283
879	0.07590609239
880	0.07586990201
881	0.0758411668
882	0.07582060035
883	0.07580375864
884	0.07578370266
885	0.07576224942
886	0.07574586319
887	0.07570053368
888	0.07568055567
889	0.07567216737
890	0.07565426306
891	0.07564061697
892	0.07561774679
893	0.07559997139
894	0.07559131523
895	0.07558090552
896	0.07557419326
897	0.07556479437
898	0.07554429812
899	0.07552343932
900	0.07550438955
901	0.07547942572
902	0.07546939504
903	0.07546136855
904	0.07543241584
905	0.07540252066
906	0.07538275413
907	0.07535786217
908	0.07532315499
909	0.07530843527
910	0.07528060897
911	0.07526674339
912	0.07524242784
913	0.07521750668
914	0.07519725024
915	0.07518856145
916	0.0751671602
917	0.07515595729
918	0.07515236658
919	0.07513865944
920	0.07511635336
921	0.07510630371
922	0.07508494281
923	0.07505229292
924	0.07501132037
925	0.07498209124
926	0.07494986372
927	0.07492243143
928	0.0748833016
929	0.07488080907
930	0.07486116898
931	0.07483634438
932	0.07482044028
933	0.07479895699
934	0.07475937288
935	0.07474542569
936	0.07472707237
937	0.07470673508
938	0.07467601257
939	0.07465728571
940	0.07463125449
941	0.07459743747
942	0.0745836568
943	0.07456670021
944	0.07455284371
945	0.07454905496
946	0.07452335972
947	0.07449849322
948	0.07447602714
949	0.0744461265
950	0.07442017267
951	0.07439721323
952	0.07438964423
953	0.07435701142
954	0.0743510193
955	0.0743279442
956	0.07430930241
957	0.07430790689
958	0.07429481155
959	0.07426557333
960	0.07425729311
961	0.07422768353
962	0.0742097285
963	0.0741951242
964	0.07418940279
965	0.07417477056
966	0.07416395529
967	0.07413257523
968	0.07411605289
969	0.07410955508
970	0.07406077159
971	0.07402966771
972	0.07402066129
973	0.07399987774
974	0.07397796219
975	0.07395412606
976	0.07394437409
977	0.07391938665
978	0.07388860709
979	0.07386737941
980	0.07385724942
981	0.07383288486
982	0.07381317211
983	0.07378594457
984	0.07377320144
985	0.07375437114
986	0.07372926665
987	0.07370670008
988	0.07369760735
989	0.07368063919
990	0.07366411041
991	0.07365926824
992	0.07363360845
993	0.07360309437
994	0.07358450681
995	0.07354617497
996	0.07353911469
997	0.07350874166
998	0.07350160094
999	0.07348455692
